RefSeq_ID,SRA_ID,Run_accession_ID,Assembly_ID
GCF_000019305.1,NA,NA,ASM1930v1
GCF_000019325.1,NA,NA,ASM1932v1
GCF_000019345.1,NA,NA,ASM1934v1
GCF_000019365.1,SRS211721,NA,ASM1936v1
GCF_000019385.1,NA,NA,ASM1938v1
GCF_000019405.1,SRS13293523,NA,ASM1940v1
GCF_000019425.1,NA,NA,ASM1942v1
GCF_000019485.1,SRS414638,NA,ASM1948v1
GCF_000019505.1,NA,NA,ASM1950v1
GCF_000019525.1,NA,NA,ASM1952v1
GCF_000019545.1,NA,NA,ASM1954v1
GCF_000019565.1,NA,NA,ASM1956v1
GCF_000019585.2,SRS583704,NA,ASM1958v2
GCF_000019625.1,SRS000495,NA,ASM1962v1
GCF_000019645.1,NA,NA,ASM1964v1
GCF_000019665.1,NA,NA,ASM1966v1
GCF_000019685.1,NA,NA,ASM1968v1
GCF_000019705.1,NA,NA,ASM1970v1
GCF_000019725.1,SRS000493,NA,ASM1972v1
GCF_000019765.1,NA,NA,ASM1976v1
GCF_000019785.1,SRS1689545,SRR4239900,ASM1978v1
GCF_000019825.1,NA,NA,ASM1982v1
GCF_000019845.1,SRS1689543,SRR4239896,ASM1984v1
GCF_000019865.1,NA,NA,ASM1986v1
GCF_000019885.1,NA,NA,ASM1988v1
GCF_000019905.1,SRS121146,SRR072788,ASM1990v1
GCF_000019925.1,NA,NA,ASM1992v1
GCF_000019945.1,SRS000224,NA,ASM1994v1
GCF_000019965.1,SRS000503,NA,ASM1996v1
